nom,variete,pays,temperature,floral,fruite,boise,terreux,epice,vegetal,url
Ali Shan 1999 (Cuisson charbon),Thé wulong,Taiwan,95,0,0,3,1,1,0,https://camellia-sinensis.com/fr/ali-shan-1999-cuisson-charbon/2392
Anxi Tie Guan Yin,Thé wulong,Chine,95,3,0,1,0,0,2,https://camellia-sinensis.com/fr/anxi-tie-guan-yin/2422
Assam Banaspaty biologique & équitable,Thé noir,Inde,95,0,1,2,0,0,0,https://camellia-sinensis.com/fr/assam-banaspaty-biologique-equitable/2221
Bai Hao,Thé wulong,Taiwan,90,1,1,3,0,1,0,https://camellia-sinensis.com/fr/bai-hao/2779
Bai Hao 2008,Thé wulong,Taiwan,95,0,2,2,0,1,0,https://camellia-sinensis.com/fr/bai-hao-2008/2778
Bai Hao Jingmai biologique,Thé wulong,Chine,95,0,3,2,0,0,0,https://camellia-sinensis.com/fr/bai-hao-jingmai-biologique/2425
Bai Hao Yin Zhen,Thé blanc,Chine,75,1,0,1,0,0,1,https://camellia-sinensis.com/fr/bai-hao-yin-zhen/2204
Bai Mu Dan Wang,Thé blanc,Chine,75,1,0,1,0,0,2,https://camellia-sinensis.com/fr/bai-mu-dan-wang/2206
Bancha Shizuoka,Thé vert,Japon,85,0,0,1,0,0,3,https://camellia-sinensis.com/fr/bancha-shizuoka/2308
Ceylan New Vithanakande,Thé noir,Sri Lanka,95,0,1,3,0,0,0,https://camellia-sinensis.com/fr/ceylan-new-vithanakande/2243
Da Hong Pao 1994,Thé wulong,Chine,95,0,1,3,0,0,0,https://camellia-sinensis.com/fr/da-hong-pao-1994/2396
Da Hong Pao M. Wu,Thé wulong,Chine,95,0,1,2,0,1,0,https://camellia-sinensis.com/fr/da-hong-pao-m-wu/2420
Darjeeling 1st flush Jungpana biologique,Thé noir,Inde,95,0,1,2,0,1,1,https://camellia-sinensis.com/fr/darjeeling-1st-flush-jungpana-biologique/2259
Darjeeling 1st flush Puttabong biologique,Thé noir,Inde,95,2,1,0,0,0,1,https://camellia-sinensis.com/fr/darjeeling-1st-flush-puttabong-biologique/5890
Darjeeling 1st flush Singell biologique & équitable,Thé noir,Inde,95,2,1,1,0,0,1,https://camellia-sinensis.com/fr/darjeeling-1st-flush-singell-biologique-equitable/2224
Darjeeling 1st flush Sungma biologique,Thé noir,Inde,95,2,3,0,1,0,0,https://camellia-sinensis.com/fr/darjeeling-1st-flush-sungma-biologique/3644
Darjeeling 1st flush Tukdah biologique,Thé noir,Inde,95,2,3,0,1,0,0,https://camellia-sinensis.com/fr/darjeeling-1st-flush-tukdah-biologique/4585
Darjeeling 2nd flush Jungpana WM biologique,Thé noir,Inde,95,0,2,2,0,1,0,https://camellia-sinensis.com/fr/darjeeling-2nd-flush-jungpana-wm-biologique/3310
Darjeeling 2nd flush Singbulli biologique,Thé noir,Inde,95,1,2,2,0,0,0,https://camellia-sinensis.com/fr/darjeeling-2nd-flush-singbulli-biologique/6408
Darjeeling Avongrove biologique,Thé blanc,Inde,80,1,1,2,0,0,1,https://camellia-sinensis.com/fr/darjeeling-avongrove-biologique/2207
Dejiang Long Zhu,Thé vert,Chine,85,2,1,0,0,0,3,https://camellia-sinensis.com/fr/dejiang-long-zhu/3755
Dong Ding M. Chang,Thé wulong,Taiwan,95,2,1,0,0,0,2,https://camellia-sinensis.com/fr/dong-ding-m-chang/2429
Dong Ding M. Nen Yu (cuit),Thé wulong,Taiwan,95,0,0,2,0,1,1,https://camellia-sinensis.com/fr/dong-ding-m-nen-yu-cuit/2413
Dong Ding Mme Lin (cuisson au charbon),Thé wulong,Taiwan,95,0,0,3,0,2,0,https://camellia-sinensis.com/fr/dong-ding-mme-lin-cuisson-au-charbon/2412
Du Yun Hong Cha,Thé noir,Chine,95,0,2,2,0,0,0,https://camellia-sinensis.com/fr/du-yun-hong-cha/3661
Du Yun Mao Jian,Thé vert,Chine,85,1,2,1,0,0,2,https://camellia-sinensis.com/fr/du-yun-mao-jian/2328
Feng Huang Hong Cha,Thé noir,Chine,95,1,2,2,0,0,1,https://camellia-sinensis.com/fr/feng-huang-hong-cha/2226
Gaba Cha,Thé wulong,Taiwan,95,1,2,2,0,1,0,https://camellia-sinensis.com/fr/gaba-cha/2401
Genmaicha avec Matcha & Sencha biologique,Thé vert,Japon,80,0,0,2,0,0,3,https://camellia-sinensis.com/fr/genmaicha-avec-matcha-sencha-biologique/2340
Genmaicha biologique,Thé vert,Japon,90,0,0,1,0,0,2,https://camellia-sinensis.com/fr/genmaicha-biologique/2335
Gunpowder biologique,Thé vert,Chine,85,0,0,1,1,0,3,https://camellia-sinensis.com/fr/gunpowder-biologique/2297
Gyokuro Okabe,Thé vert,Japon,70,1,0,0,0,0,3,https://camellia-sinensis.com/fr/gyokuro-okabe/2338
Gyokuro Shizuoka biologique,Thé vert,Japon,75,1,0,0,0,0,3,https://camellia-sinensis.com/fr/gyokuro-shizuoka-biologique/2334
Gyokuro Shuin,Thé vert,Japon,70,0,2,0,0,0,3,https://camellia-sinensis.com/fr/gyokuro-shuin/2298
Gyokuro Tamahomare,Thé vert,Japon,65,0,2,0,0,0,3,https://camellia-sinensis.com/fr/gyokuro-tamahomare/2299
Hojicha Isagawa biologique,Thé vert,Japon,90,0,0,3,0,0,1,https://camellia-sinensis.com/fr/hojicha-isagawa-biologique/2345
Hong Xiang Luo,Thé noir,Chine,90,0,1,3,0,0,0,https://camellia-sinensis.com/fr/hong-xiang-luo/2260
Huiming biologique,Thé vert,Chine,85,1,0,0,0,0,2,https://camellia-sinensis.com/fr/huiming-biologique/2301
Huiming Hong Cha biologique,Thé noir,Chine,90,2,0,3,1,0,0,https://camellia-sinensis.com/fr/huiming-hong-cha-biologique/2228
Huo Shan Huang Ya,Thé vert,Chine,85,1,1,0,0,0,2,https://camellia-sinensis.com/fr/huo-shan-huang-ya/2302
Java Purbasari,Thé blanc,Indonésie,75,2,1,1,0,0,1,https://camellia-sinensis.com/fr/java-purbasari/4955
Jin Die biologique,Thé noir,Chine,90,1,1,2,0,0,0,https://camellia-sinensis.com/fr/jin-die-biologique/2229
Jin Hou biologique,Thé noir,Chine,90,0,2,2,0,0,0,https://camellia-sinensis.com/fr/jin-hou-biologique/3680
Jingning Yin Zhen biologique,Thé blanc,Chine,75,2,1,0,0,0,3,https://camellia-sinensis.com/fr/jingning-yin-zhen-biologique/2208
Kabusecha Takamado,Thé vert,Japon,75,0,1,0,0,0,2,https://camellia-sinensis.com/fr/kabusecha-takamado/2303
Kamairicha biologique,Thé vert,Japon,80,1,0,1,0,0,3,https://camellia-sinensis.com/fr/kamairicha-biologique/2304
Kenya Kangaita,Thé noir,Kenya,95,1,1,2,0,0,0,https://camellia-sinensis.com/fr/kenya-kangaita/2230
Kukicha biologique,Thé vert,Japon,80,0,1,2,0,0,2,https://camellia-sinensis.com/fr/kukicha-biologique/2323
La Cumbre Bitaco biologique,Thé noir,Colombie,95,0,1,3,0,1,0,https://camellia-sinensis.com/fr/la-cumbre-bitaco-biologique/3629
Laos Pu Er Sheng 2018 Phong Sali,Thé pu er et vieilli,Laos,95,1,2,1,0,0,2,https://camellia-sinensis.com/fr/laos-pu-er-sheng-2018-phong-sali/4954
Lapsang Souchong biologique,Thé noir,Chine,95,0,0,3,1,0,0,https://camellia-sinensis.com/fr/lapsang-souchong-biologique/2231
Lingtou Yuan Wei Dancong,Thé wulong,Chine,95,1,2,1,0,0,1,https://camellia-sinensis.com/fr/lingtou-yuan-wei-dancong/3873
Liu Bao Shi Shan Gu Shu 2016 (théiers de 100 ans),Thé pu er et vieilli,Chine,95,0,2,1,1,0,0,https://camellia-sinensis.com/fr/liu-bao-shi-shan-gu-shu-2016-theiers-de-100-ans/3895
Liu Bao Ye Sheng Gu Shu 2002,Thé pu er et vieilli,Chine,95,0,0,1,3,0,1,https://camellia-sinensis.com/fr/liu-bao-ye-sheng-gu-shu-2002/4047
Long Jing Shi Feng,Thé vert,Chine,80,1,0,2,0,0,2,https://camellia-sinensis.com/fr/long-jing-shi-feng/2305
Long Jing Zhejiang biologique,Thé vert,Chine,80,1,0,1,0,0,3,https://camellia-sinensis.com/fr/long-jing-zhejiang-biologique/2333
Lu An Gua Pian,Thé vert,Chine,85,0,1,1,0,0,3,https://camellia-sinensis.com/fr/lu-an-gua-pian/2306
Matcha Choan,Thé vert,Japon,75,1,1,0,0,0,3,https://camellia-sinensis.com/fr/matcha-choan/2309
Matcha Fuka Midori,Thé vert,Japon,75,0,1,0,0,0,3,https://camellia-sinensis.com/fr/matcha-fuka-midori/2331
Matcha Sendo,Thé vert,Japon,75,0,0,1,0,0,3,https://camellia-sinensis.com/fr/matcha-sendo/2310
Matcha Sora,Thé vert,Japon,75,0,0,0,0,0,3,https://camellia-sinensis.com/fr/matcha-sora/2311
Mi Lan Xiang Fengxi,Thé wulong,Chine,95,1,2,1,0,0,1,https://camellia-sinensis.com/fr/mi-lan-xiang-fengxi/2405
Mucha Tie Guan Yin (cuit),Thé wulong,Taiwan,95,0,0,3,0,1,0,https://camellia-sinensis.com/fr/mucha-tie-guan-yin-cuit/2414
Myanmar Pu Er 2012 Guogan,Thé pu er et vieilli,Birmanie,95,0,1,1,3,0,0,https://camellia-sinensis.com/fr/myanmar-pu-er-2012-guogan/4953
Nadeshiko biologique,Thé noir,Japon,95,0,1,3,1,0,0,https://camellia-sinensis.com/fr/nadeshiko-biologique/2241
