nom,variete,pays,temperature,cluster,url,floral,fruite,boise,terreux,epice,vegetal
Ali Shan 1999 (Cuisson charbon),Thé wulong,Taiwan,95,1,https://camellia-sinensis.com/fr/ali-shan-1999-cuisson-charbon/2392,0,0,3,1,1,0
Anxi Tie Guan Yin,Thé wulong,Chine,95,3,https://camellia-sinensis.com/fr/anxi-tie-guan-yin/2422,3,0,1,0,0,2
Assam Banaspaty biologique & équitable,Thé noir,Inde,95,1,https://camellia-sinensis.com/fr/assam-banaspaty-biologique-equitable/2221,0,1,2,0,0,0
Bai Hao,Thé wulong,Taiwan,90,1,https://camellia-sinensis.com/fr/bai-hao/2779,1,1,3,0,1,0
Bai Hao 2008,Thé wulong,Taiwan,95,4,https://camellia-sinensis.com/fr/bai-hao-2008/2778,0,2,2,0,1,0
Bai Hao Jingmai biologique,Thé wulong,Chine,95,4,https://camellia-sinensis.com/fr/bai-hao-jingmai-biologique/2425,0,3,2,0,0,0
Bai Hao Yin Zhen,Thé blanc,Chine,75,3,https://camellia-sinensis.com/fr/bai-hao-yin-zhen/2204,1,0,1,0,0,1
Bai Mu Dan Wang,Thé blanc,Chine,75,3,https://camellia-sinensis.com/fr/bai-mu-dan-wang/2206,1,0,1,0,0,2
Bancha Shizuoka,Thé vert,Japon,85,0,https://camellia-sinensis.com/fr/bancha-shizuoka/2308,0,0,1,0,0,3
Ceylan New Vithanakande,Thé noir,Sri Lanka,95,1,https://camellia-sinensis.com/fr/ceylan-new-vithanakande/2243,0,1,3,0,0,0
Da Hong Pao 1994,Thé wulong,Chine,95,1,https://camellia-sinensis.com/fr/da-hong-pao-1994/2396,0,1,3,0,0,0
Da Hong Pao M. Wu,Thé wulong,Chine,95,1,https://camellia-sinensis.com/fr/da-hong-pao-m-wu/2420,0,1,2,0,1,0
Darjeeling 1st flush Jungpana biologique,Thé noir,Inde,95,1,https://camellia-sinensis.com/fr/darjeeling-1st-flush-jungpana-biologique/2259,0,1,2,0,1,1
Darjeeling 1st flush Puttabong biologique,Thé noir,Inde,95,3,https://camellia-sinensis.com/fr/darjeeling-1st-flush-puttabong-biologique/5890,2,1,0,0,0,1
Darjeeling 1st flush Singell biologique & équitable,Thé noir,Inde,95,3,https://camellia-sinensis.com/fr/darjeeling-1st-flush-singell-biologique-equitable/2224,2,1,1,0,0,1
Darjeeling 1st flush Sungma biologique,Thé noir,Inde,95,4,https://camellia-sinensis.com/fr/darjeeling-1st-flush-sungma-biologique/3644,2,3,0,1,0,0
Darjeeling 1st flush Tukdah biologique,Thé noir,Inde,95,4,https://camellia-sinensis.com/fr/darjeeling-1st-flush-tukdah-biologique/4585,2,3,0,1,0,0
Darjeeling 2nd flush Jungpana WM biologique,Thé noir,Inde,95,4,https://camellia-sinensis.com/fr/darjeeling-2nd-flush-jungpana-wm-biologique/3310,0,2,2,0,1,0
Darjeeling 2nd flush Singbulli biologique,Thé noir,Inde,95,4,https://camellia-sinensis.com/fr/darjeeling-2nd-flush-singbulli-biologique/6408,1,2,2,0,0,0
Darjeeling Avongrove biologique,Thé blanc,Inde,80,1,https://camellia-sinensis.com/fr/darjeeling-avongrove-biologique/2207,1,1,2,0,0,1
Dejiang Long Zhu,Thé vert,Chine,85,3,https://camellia-sinensis.com/fr/dejiang-long-zhu/3755,2,1,0,0,0,3
Dong Ding M. Chang,Thé wulong,Taiwan,95,3,https://camellia-sinensis.com/fr/dong-ding-m-chang/2429,2,1,0,0,0,2
Dong Ding M. Nen Yu (cuit),Thé wulong,Taiwan,95,1,https://camellia-sinensis.com/fr/dong-ding-m-nen-yu-cuit/2413,0,0,2,0,1,1
Dong Ding Mme Lin (cuisson au charbon),Thé wulong,Taiwan,95,1,https://camellia-sinensis.com/fr/dong-ding-mme-lin-cuisson-au-charbon/2412,0,0,3,0,2,0
Du Yun Hong Cha,Thé noir,Chine,95,4,https://camellia-sinensis.com/fr/du-yun-hong-cha/3661,0,2,2,0,0,0
Du Yun Mao Jian,Thé vert,Chine,85,3,https://camellia-sinensis.com/fr/du-yun-mao-jian/2328,1,2,1,0,0,2
Feng Huang Hong Cha,Thé noir,Chine,95,4,https://camellia-sinensis.com/fr/feng-huang-hong-cha/2226,1,2,2,0,0,1
Gaba Cha,Thé wulong,Taiwan,95,4,https://camellia-sinensis.com/fr/gaba-cha/2401,1,2,2,0,1,0
Genmaicha avec Matcha & Sencha biologique,Thé vert,Japon,80,0,https://camellia-sinensis.com/fr/genmaicha-avec-matcha-sencha-biologique/2340,0,0,2,0,0,3
Genmaicha biologique,Thé vert,Japon,90,0,https://camellia-sinensis.com/fr/genmaicha-biologique/2335,0,0,1,0,0,2
Gunpowder biologique,Thé vert,Chine,85,0,https://camellia-sinensis.com/fr/gunpowder-biologique/2297,0,0,1,1,0,3
Gyokuro Okabe,Thé vert,Japon,70,0,https://camellia-sinensis.com/fr/gyokuro-okabe/2338,1,0,0,0,0,3
Gyokuro Shizuoka biologique,Thé vert,Japon,75,0,https://camellia-sinensis.com/fr/gyokuro-shizuoka-biologique/2334,1,0,0,0,0,3
Gyokuro Shuin,Thé vert,Japon,70,0,https://camellia-sinensis.com/fr/gyokuro-shuin/2298,0,2,0,0,0,3
Gyokuro Tamahomare,Thé vert,Japon,65,0,https://camellia-sinensis.com/fr/gyokuro-tamahomare/2299,0,2,0,0,0,3
Hojicha Isagawa biologique,Thé vert,Japon,90,1,https://camellia-sinensis.com/fr/hojicha-isagawa-biologique/2345,0,0,3,0,0,1
Hong Xiang Luo,Thé noir,Chine,90,1,https://camellia-sinensis.com/fr/hong-xiang-luo/2260,0,1,3,0,0,0
Huiming biologique,Thé vert,Chine,85,3,https://camellia-sinensis.com/fr/huiming-biologique/2301,1,0,0,0,0,2
Huiming Hong Cha biologique,Thé noir,Chine,90,1,https://camellia-sinensis.com/fr/huiming-hong-cha-biologique/2228,2,0,3,1,0,0
Huo Shan Huang Ya,Thé vert,Chine,85,3,https://camellia-sinensis.com/fr/huo-shan-huang-ya/2302,1,1,0,0,0,2
Java Purbasari,Thé blanc,Indonésie,75,3,https://camellia-sinensis.com/fr/java-purbasari/4955,2,1,1,0,0,1
Jin Die biologique,Thé noir,Chine,90,1,https://camellia-sinensis.com/fr/jin-die-biologique/2229,1,1,2,0,0,0
Jin Hou biologique,Thé noir,Chine,90,4,https://camellia-sinensis.com/fr/jin-hou-biologique/3680,0,2,2,0,0,0
Jingning Yin Zhen biologique,Thé blanc,Chine,75,3,https://camellia-sinensis.com/fr/jingning-yin-zhen-biologique/2208,2,1,0,0,0,3
Kabusecha Takamado,Thé vert,Japon,75,0,https://camellia-sinensis.com/fr/kabusecha-takamado/2303,0,1,0,0,0,2
Kamairicha biologique,Thé vert,Japon,80,0,https://camellia-sinensis.com/fr/kamairicha-biologique/2304,1,0,1,0,0,3
Kenya Kangaita,Thé noir,Kenya,95,1,https://camellia-sinensis.com/fr/kenya-kangaita/2230,1,1,2,0,0,0
Kukicha biologique,Thé vert,Japon,80,0,https://camellia-sinensis.com/fr/kukicha-biologique/2323,0,1,2,0,0,2
La Cumbre Bitaco biologique,Thé noir,Colombie,95,1,https://camellia-sinensis.com/fr/la-cumbre-bitaco-biologique/3629,0,1,3,0,1,0
Laos Pu Er Sheng 2018 Phong Sali,Thé pu er et vieilli,Laos,95,3,https://camellia-sinensis.com/fr/laos-pu-er-sheng-2018-phong-sali/4954,1,2,1,0,0,2
